date,docx,headline,outlet,topic,url
12/25/13,In the News 12-25 to 12-31,In Culture discussed the future of Ukrainian art and culture (originally in Ukrainian),Kmu.gov.ua,The Ministry of Culture of Ukraine met with govt. members & the general public to discuss the improvement of national legislation for culture in Ukraine; the Bibliomist program is mentioned ,http://www.kmu.gov.ua/control/uk/publish/article?art_id=246943305&cat_id=244277212
12/30/13,In the News 12-25 to 12-31,The library opened for children internet facility (originally in Ukrainian),Pres-centr.ck.ua,"Through the Bibliomist program, a free Internet equipment center opened in  Cherkasy Oblast Library for Children in Ukraine",http://www.pres-centr.ck.ua/person/39654/
12/31/13,In the News 12-25 to 12-31,Network war against Belaya Rus (originally in Russian),Km.ru,Discusses NGO activity in Belarus and the country’s development,http://www.km.ru/spetsproekty/2013/12/31/aleksandr-lukashenko/729175-setevaya-voina-protiv-beloi-rusi
12/4/13,In the News 12-4 to 12-10,Young Leaders Acquire Community Building Skills,Voazimbabwe.com,"CSP leaders developed their professional  skills in the US, plan to implement skills back home",http://www.voazimbabwe.com/content/zimbabwe-community-solutions-young-leaders/1803732.html
12/6/13,In the News 12-4 to 12-10,UNESCO and its partners launched the Global Alliance Gender and Media (originally in French),Unesco.org,The Alliance/Global Gender and Media Forum was developed/held to discuss gender equality and media content in the workforce,http://www.unesco.org/new/fr/communication-and-information/resources/news-and-in-focus-articles/in-focus-articles/2013/unesco-and-partners-launch-global-alliance-on-media-and-gender/
12/9/13,In the News 12-4 to 12-10,YOUNG AFRICAN LEADERS APPLY NOW FOR WASHINGTON FELLOWSHIP,EINNews.com,The YALI fellowship is accepting applications; was developed to support good governance and to enhance peace and security across Africa,http://www.einnews.com/pr_news/180067441/young-african-leaders-apply-now-for-washington-fellowship
12/10/13,In the News 12-4 to 12-10,Maryville College welcomes Global UGRAD-Pakistan students,KnoxNews.com,Maryville College in Tennessee welcomed two students participating in Global UGRAD-Pakistan,http://www.knoxnews.com/news/2013/dec/10/maryville-college-welcomes-global-ugrad-pakistan-s/
12/10/13,In the News 12-4 to 12-10,"County Library ""Duiliu"" Innovation Fair in Chisinau library (originally in Romanian)",Adevarul.ro,"The Library Innovation Fair was held in Chisinau, Moldova, to highlight technology library services implemented through Biblionet ",http://adevarul.ro/locale/focsani/biblioteca-judeteana-duiliu-zamfirescu-targului-inovatiilor-biblioteca-chisinau-1_52a6f83fc7b855ff5698c0e2/index.html
2/10/14,In the News 2-10,Maxwell School of Syracuse University selected to host young African leaders,PRNewswire.com,Syracuse University will host 25 YALI fellows,http://www.prnewswire.com/news-releases/maxwell-school-of-syracuse-university-selected-to-host-young-african-leaders-244746961.html
2/10/14,In the News 2-10,Maxwell School Selected to Host Young African leaders,News.syr.edu,Same article as above,http://news.syr.edu/maxwell-school-selected-to-host-young-african-leaders-88356/
2/10/14,In the News 2-10,Maxwell School of Syracuse University selected to host young African leaders,SacBee.com,Same article as above,http://www.sacbee.com/2014/02/10/6144452/maxwell-school-of-syracuse-university.html
2/11/14,In the News 2-10,Young African Leaders Initiative participates to visit for training session,DailyOrange.com,The Maxwell School of Citizenship and Public Affairs at Syracuse is joining IREX & the State Department to host 25 YALI fellows,http://dailyorange.com/2014/02/young-african-leaders-initiative-participates-to-visit-for-training-session/
2/11/14,In the News 2-10,"One step forward, two steps back? The gaps between LGBTI policy and practice in foreign aid",Devex.com,Discusses LGBTI policy and foreign aid in Nigeria and other countries where same-sex conduct is criminalized; quotes IREX & Randal Mason,https://www.devex.com/en/news/one-step-forward-two-steps-back-the-gaps-between/82832
2/11/14,In the News 2-10,Azerbaijani authorities do everything to make Internet unavailable and of low quality,Panorama.am,Discusses access to high speed Internet and other media in Azerbaijan; mentions an IREX lawyer,http://www.panorama.am/en/society/2014/02/11/az-internet/
2/11/14,In the News 2-10,Azerbaijani authorities to do everything to the Internet in the country was inferior in quality to international standards and was not available (originally in Russian),Yerkramas.org,Same article as above,http://www.yerkramas.org/2014/02/11/vlasti-azerbajdzhana-delayut-vse-chtoby-internet-v-strane-ustupal-po-kachestvu-mezhdunarodnym-normam-i-ne-byl-dostupnym/
2/12/14,In the News 2-10,Communications Ministry calls for the protection of children on the Internet (originally in Russian),News.day.az,Talks about how Azerbaijanis should take an active part in protecting children from inappropriate content on the Internet; mentions an IREX lawyer,http://news.day.az/society/465769.html
2/12/14,In the News 2-10,Mark Pomar and the U.S. Russia Foundation for Economic Advancement and the Rule of Law,Columbia.edu,Discusses former IREX President Mark Pomar – his career and time at IREX,http://www.columbia.edu/cu/creative/epub/harriman/2014/winter/mark_pomar.pdf
2/14/14,In the News 2-10,"Comatose abroad: US ready to extend Shahzaib’s visa, says FO",Tribune.com.pk,A Pakistani student studying in the US through IREX is in comatose after a card accident; the Foreign Office is extending his visa and IREX is making accommodations for his family,http://tribune.com.pk/story/671580/comatose-abroad-us-ready-to-extend-shahzaibs-visa-says-fo/
2/17/14,In the News 2-17,Azerbaijani students are free to study in the U.S. (originally in Russian),News.day.az,Azerbaijan students can now apply for the UGRAD program,http://news.day.az/society/467353.html
2/17/14,In the News 2-17,"""Critical times call for drastic approaches.""Foreign media about Ukraine (originally in Russian)",Ostro.org,The regional division of Ukraine is discussed; mentions an IREX lawyer,http://www.ostro.org/general/world/articles/437573/
2/18/24,In the News 2-17,Liberia: YES Launches 'Building a Sustainable Liberia' Project,AllAfrica.com,"Through IREX’s Community Solutions Program, the ‘Building a Sustainable Liberia’ project is launching, which will establish an environmentally aware culture in Liberia ",http://allafrica.com/stories/201402181469.html
2/18/14,In the News 2-17,Remarks at a Solo Press Availability,State.gov,John Kerry discusses the current situation in Tunisia and the progress made in the country; mentions IREX’s Thomas Jefferson Scholarship program ,http://www.state.gov/secretary/remarks/2014/02/221754.htm
2/20/14,In the News 2-17,Drones for development?,TheGuardian.com,The notion of drones for development is explored; mentions IREX’s recent Drones Deep Dive event,http://www.theguardian.com/global-development-professionals-network/dai-partner-zone/experimenting-with-drones-for-development
2/21/14,In the News 2-17,"Who We Are – Tilly Reed: Working for humanity, coming home",Crestoneeagle.com,Discusses the Civil Society and Media Leadership Program and the work of staff member Tilly Reed; mentions IREXer Dara Lipton,http://www.crestoneeagle.com/who-we-are-tilly-reed-working-for-humanity-coming-home/
2/22/14,In the News 2-17,"In Ukraine, the West opens a Pandora's box (originally in Italian)",Globalist.it,"Opinion piece that discusses the current situation in Ukraine and the country’s future; mentions IREX, among other nonprofits, that have been working in Ukraine",http://www.globalist.it/Detail_News_Display?ID=54910&typeb=0&In-Ucraina-l-Occidente-apre-un-vaso-di-Pandora-
2/23/14,In the News 2-17,Destroy Ukraine: a plan by $ 5 billion (originally in Italian),Informarexresistere.fr,Same article as above,http://www.informarexresistere.fr/2014/02/23/distruggere-lucraina-un-piano-da-5-miliardi-di-dollari/
2/24/14,In the News 2-24,Educational opportunities in the United States was held at the university (originally in Azerbaijani),Aseu.az,A presentation about educational opportunities and training through IREX was held for Azerbaijani students,http://www.aseu.az/index.php?option=com_k2&view=item&id=1383&Itemid=163&lang=az
2/26/14,In the News 2-24,Liberia: My Experience With the Daily Observer in the 1980's,AllAfrica.com,Opinion piece detailing a journalist’s experience at a Liberian newspaper; mentions IREXers Bill Burke and Maureen Sieh,http://allafrica.com/stories/201402261543.html
2/27/14,In the News 2-24,Meeting with representative of GLOBAL UGRAD,Acc.pushkinlibrary.kz,An information meeting about Global UGRAD was held for students in Kazakhstan ,http://acc.pushkinlibrary.kz/index.php?view=article&catid=43:2013&id=201:meeting-with-representative-of-global-ugrad&format=pdf
3/1/14,In the News 2-24,And Hara connected with the world through Libraries (originally in Romanian) ,Mesagerulhunedorean.ro,"An inauguration for library in Romania was held; the library has new technology available for use, made possible by funding through Bibliomist",http://www.mesagerulhunedorean.ro/si-haraul-s-a-conectat-cu-lumea-prin-biblionet-2
3/2/14,In the News 2-24,Global Education on a Personal Scale,Bgsu.edu,TEA fellows are hosted at Bowling Green State University,http://www.bgsu.edu/news/2014/02/global-education-on-a-personal-scale.html
2/5/14,In the News 2-3,Now Accepting Applications For The Global Ugrad Program,Wn.com,The Global UGRAD application is released; talks about what kind of training is involved in the program ,http://article.wn.com/view/2014/02/05/Now_Accepting_Applications_for_the_Global_UGRAD_Program_IREX/
2/7/14,In the News 2-3,USA announces 2014-2015 Global UGRAD in Eurasia and Central Asia,News.az,The Global UGRAD application is released,http://www.news.az/articles/society/86370
2/7/14,In the News 2-3,"In Georgia, the increase in the number of listeners - TNS (originally in Russian)",Apsny.ge,A new study shows that the number of Georgian radio listeners has increased; the study was conducted through the G-MEDIA program,http://www.apsny.ge/2014/soc/1391809804.php
2/8/14,In the News 2-3,Grants,Csuchico.edu,A faculty member at Chicago State University received a grant from IREX to conduct a professional development program international educators ,http://www.csuchico.edu/inside/2014-02-10/achievements.shtml
2/8/14,In the News 2-3,Global Undergraduate Exchange Program (Global UGRAD) (originally in Russian),Mngz.ru,Lists details and deadlines about the Global UGRAD application,http://www.mngz.ru/russia-world-sensation/336187-mezhdunarodnaya-programma-studencheskogo-obmena-global-ugrad.html
2/8/14,In the News 2-3,'To restrict internet freedom' (originally in Turkish),Pirsushaber.com,Discusses press freedom and Internet access in Turkey; mentions the Biblionet program,http://www.pirsushaber.com/internet-ozgurlugu-kisitlanacak-350138ny.html
3/13/14,In the News 3-10,"White House Taps U.Va., William & Mary, Presidential Homes to Support Africa Initiative",News.Virginia.edu,Two universities and three presidential homes in Virginia will form the Presidential Precinct to host YALI fellows this summer.,https://news.virginia.edu/content/white-house-taps-uva-william-mary-presidential-homes-support-africa-initiative
3/13/14,In the News 3-10,A Ukrainian journalist's point of view of Ukraine,Observer-reporter.com,Opinion piece from IREX Ukraine staffer about the current situation in Crimea and how it affects journalists in the country.,http://www.observer-reporter.com/article/20140313/BLOGS22/140319709
3/18/14,In the News 3-17,Pakistani Chemistry Student Yasha Butt Wins Grant to Study at KSC,Keene.edu,"A Pakistani student received a grant, funded by ECA and administered by IREX, to study chemistry at Keene State College.",http://www.keene.edu/news/stories/detail/1395148881198/
3/20/14,In the News 3-17,Mason Educators Train Teachers from 20 Countries,Newsdesk.gmu.edu,TEA fellows visited George Mason University to receive teacher training as part of their professional development during the program.,http://newsdesk.gmu.edu/2014/03/mason-educators-train-teachers-20-countries/
3/21/14,In the News 3-17,Global Research Funding Opportunities,Global.usf.edu,Lists organizations that will be present at a networking event about opportunities in global research funding; mentions IREX.,http://global.usf.edu/wordpress/wp-content/upLoads/Global-Research-Funding-Open-House.pdf
3/23/14,In the News 3-17,Somaliland: 2nd Somali Peace Festival to be held in “Hargeisa” during the Summer,SomalilandPress.com,"IREX Europe and the KOW Media Corporation (KMC) will hold a second Somali Peace Festival this summer, which will highlight the work of artists from the Horn of Africa.",http://somalilandpress.com/somaliland-2nd-somali-peace-festival-hargeisa-49073
3/24/14,In the News 3-24,Bishkek to host Festival of Western languages and cultures ,Eng.24.kg,"A ‘Festival of Western Languages ​​and Cultures’ will be held in Bishkek, Kyrgyzstan, to attract Kyrgyz students to study foreign languages and find out about opportunities for educational exchange through IREX.",http://www.eng.24.kg/culture/169575-news24.html
3/25/14,In the News 3-24,Festival of Western Cultures and Languages Will Be Held in Kyrgyzstan (originally in Russian),Easttime.ru,Same article as above.,http://easttime.ru/news/kyrgyzstan/festival-zapadnykh-kultur-i-yazykov-proidet-v-kyrgyzstane/6441
3/27/14,In the News 3-24,Changemakers: Women and governance,Devex.com,Mark W.’s ‘SheBuilds’ piece on the importance of good governance for women’s education and economic wellbeing.,https://www.devex.com/news/changemakers-women-and-governance-83153
3/27/14,In the News 3-24,Modern libraries in Harghita county - was successfully launched in the five-year program Biblionet (originally in Hungarian),Erdely.ma,"Through the Biblionet program, new libraries were recently opened in Harghita County, Romania. ",http://erdely.ma/kultura.php?id=161629&cim=korszeru_konyvtarak_hargita_megyeben_sikeres_volt_az_ot_eve_indult_biblionet_program
3/27/14,In the News 3-24,12 million dollars will be invested in a thousand libraries in Moldova (originally in Romanian),Interlic.md,"Through the Novateca program, $12 million will be invested into 1K libraries in Moldova, and 1.5K librarians will be trained in modern technology services.",http://www.interlic.md/2014-03-27/12-milioane-de-dolari-sua-vor-fi-investi-i-in-o-mie-de-biblioteci-din-r-moldova-34135.html
3/27/14,In the News 3-24,The Republic of Moldova has started a national stage of the program for libraries Novateca (originally in Russian) ,E-cis.info,"Discusses the launch of the Novateca program, and how public libraries in Moldova will benefit.",http://www.e-cis.info/news.php?id=8620
3/28/14,In the News 3-24,Royal British Cultural Hall in Resita (originally in Romanian),Adevarul.ro,"Larry Watts, former head of the IREX office in Bucharest, Romania, had launch for his new book.",http://adevarul.ro/locale/resita/regal-cultural-sala-lira-resita-1_533523a60d133766a84aebfa/index.html
3/28/14,In the News 3-24,"Nearly 1,000 libraries in Moldova to be upgraded in the next five years (originally in Romanian)",Adevarul.ro,"Through the Novateca program, 1K libraries in Moldova will be upgraded over the next five years with new technology, such as computers. ",http://adevarul.ro/moldova/social/revolutiabibliotecilor-sute-biblioteci-republica-moldova-urmeaza-modernizate-urmatorii-cinci-ani-1_533497240d133766a848ea3d/index.html
3/30/14,In the News 3-24,From inside. Priests asked to instruct untrained peasants in European funds. Results of a mystery (originally in Romanian) ,Ro.stiri.yahoo.com,Discusses the relationship between priests and Romania’s Ministry of Agriculture with regards to funds for the development of rural communities; mentions IREX and the Biblionet libraries program,https://ro.stiri.yahoo.com/din-interior-preo%C8%9Bi-neinstrui%C8%9Bi-pu%C8%99i-s%C4%83-%C3%AEndrume-%C8%9B%C4%83ranii-191754985.html
3/3/14,In the News 3-3,Russia a Popular Market for U.S. Companies,FoxBusiness.com,Discusses the plight of the recognizable U.S. companies in Russia amidst the ongoing situation in the Ukraine. ,http://www.foxbusiness.com/markets/2014/03/03/russia-popular-market-for-us-companies/
3/4/14,In the News 3-3,The Shahzaib Bajwa story: A family gives thanks,StarTribune.com,An update on the IREX fellow that is in a coma following a car accident.,http://www.startribune.com/opinion/commentaries/248461261.html
3/5/14,In the News 3-3,Study in Russia,GlobalFortuneEdu.com,Lists scholarships and fellowships for study in Russia; mentions IREX.,http://www.globalfortuneedu.com/study-in-russia/
3/7/14,In the News 3-3,SEA Campaign,WorldPulse.com,Discusses sexual exploitation of women in Liberia; mentions IREX and the Advancing Women in Media Strategy by the Liberia Women Media Action Committee (LIWOMAC).,http://worldpulse.com/node/85942
3/7/14,In the News 3-3,Ukrainian Libraries Help Refugees Adapt to New Life,USAID.gov,"Through the Bibliomist program, Ukrainian libraries are providing services to refugees and immigrants to help them adapt to a new way of life in the country.",http://www.usaid.gov/results-data/success-stories/ukrainian-libraries-help-refugees-adapt-new-life
4/1/14,In the News 3-31,"American writer Larry L. Watts, present at Overture Mall for book launch (originally in Romanian) ",Ziarulevenimentul.ro,Writer Larry Watts is releasing his new book about international relations theory; he was head of the IREX Bucharest office from 1990-91,http://www.ziarulevenimentul.ro/stiri/moldova/scriitorul-american-larry-l-watts-prezent-la-uvertura-mall-pentru-lansare-de-carte--136506.html
4/3/14,In the News 3-31,Mozambique: When Party Politics Beats Sisterhood,AllAfrica.com,Opinion piece on women in Parliament; the author was a technical adviser in the Media Strengthening Program in Mozambique ,http://allafrica.com/stories/201404040437.html?viewall=1
4/3/14,In the News 3-31,Mozambique Becomes First SADC Country to Join A4AI,AllAfrica.com,The Mozambique government and the Alliance for Affordable Internet (A4AI) have a new partnership; mentions that IREX representatives were present at the document signing at the AITEC Southern Africa ICT Forum in Maputo,http://allafrica.com/stories/201404030687.html
4/3/14,In the News 3-31,Mozambique joins Alliance for Affordable Internet,ITNewsAfrica.com,Same article as above,http://www.itnewsafrica.com/2014/04/mozambique-joins-alliance-for-affordable-internet/
4/4/14,In the News 3-31,Mozambique first SADC country to join A4AI,BizCommunity.com,Same article as above,http://www.bizcommunity.com/Article/146/16/111730.html
4/4/14,In the News 3-31,Foreign teachers get instruction at Clemson,Greenvilleonline.com,Clemson received 16 teachers through the ILEP program this year,http://www.greenvilleonline.com/story/news/education/2014/04/04/foreign-teachers-get-instruction-clemson/7336677/
4/6/14,In the News 3-31,Spreading a message,Wartburgcircuit.org,Feature on UGRAD Pakistan student Mahzabe Malik who is staying at Wartburg College in Iowa,http://wartburgcircuit.org/spreading-a-message/
4/14/14,In the News 4-14,"Library of Latvia we work not with the book, and the reader (originally in Ukrainian)",Gurt.org.ua,"Blog from IREX Social Media Specialist Anna Taranenko about Latvian libraries, the different services they offer, and how they can be adapted to resemble Ukrainian libraries and their services (most made possible through Bibliomist).",http://gurt.org.ua/blogs/663/1382/
4/15/14,In the News 4-14,Pakistani student enjoys Southern hospitality at MSU,Reflector-online.com,A Global UGRAD Pakistan student is featured and speaks about his time at Mississippi State University.,http://www.reflector-online.com/news/article_a2c05e4a-c43b-11e3-8ec7-0017a43b2370.htmlhttp://www.reflector-online.com/news/article_a2c05e4a-c43b-11e3-8ec7-0017a43b2370.html
4/17/14,In the News 4-14,Study visit to the Library of Latvia (originally in Ukrainian),Briz.if.ua,"Under the “Leadership for young librarians” program, made possible through Bibliomist, library directors and leaders took a working visit to the National Library of Latvia. ",http://briz.if.ua/19942.htm
4/18/14,In the News 4-14,Another U.S. $ 14 million Azeri revolution (originally in Russian),Haqqin.az,Opinion piece about US and Azerbaijani relations; mentions IREX and its grant allocations.,http://haqqin.az/news/20676
4/18/14,In the News 4-14,Development libraries in the 2014-15 biennium will be given special attention – Culture (originally in Ukrainian),Ukrinform.ua,Ukraine’s Ministry of Culture met with the First Deputy Minister of Culture to discuss plans to introduce electronic services in Ukrainian public libraries; also discussed the continuation of cooperation between the Ministry of Culture and Bibliomist.,http://www.ukrinform.ua/ukr/news/rozvitku_bibliotek_u_2014_15_rr_pridilyatimetsya_osobliva_uvaga___minkulturi_1930901
4/19/14,In the News 4-14,Culture Ministry will undertake the development of libraries (originally in Russian),Day.kiev.ua,Same article as above.,http://www.day.kiev.ua/ru/news/190414-minkultury-vozmetsya-za-razvitie-bibliotek
4/21/14,In the News 4-21,Liberia: VP Boakai On Press Freedom in Liberia,AllAfrica.com,VP of Liberia discusses the country’s level of press freedom and mentioned IREX’s CSML program.,http://allafrica.com/stories/201404211077.html
4/22/14,In the News 4-21,"Plutopia: Nuclear Families, Atomic Cities, and the Great Soviet and American Plutonium Disasters",SHU.edu,A Seton Hall University professor is giving a lecture on Soviet and American plutonium disasters; she previously received a grant from IREX.,http://www.shu.edu/news/article/478903#.U1Z-a-ZdXu0
4/22/14,In the News 4-21,How I Became a Leader,ChimeForChange.org,Blog from a Youth Theater for Peace Program participant about overcoming her fears and becoming a leader through the program. ,http://www.chimeforchange.org/story/how-i-became-a-leader/
4/22/14,In the News 4-21,Money for opposition (originally in Russian),Ng.ru,Discusses human rights and governance in the sphere of US/Azerbaijani relations; mentions IREX grants funded to Azerbaijan.,http://www.ng.ru/cis/2014-04-22/6_money.html
4/23/14,In the News 4-21,Proclamation on Community College Initiative Day Celebrated by the City of Houston,State.gov,"The Mayor of Houston, Texas declared April 22 as Community College Initiative (CCI) Program Day; Houston Community College currently hosts 16 CCI participants.",http://www.state.gov/r/pa/prs/ps/2014/04/225085.htm
4/23/14,In the News 4-21,Proclamation on Community College Initiative Day Celebrated by the City of Houston,YumaNewsNow.com,Similar to above.,http://www.yumanewsnow.com/index.php/news/latest/6097-proclamation-on-community-college-initiative-day-celebrated-by-the-city-of-houston
4/23/14,In the News 4-21,Celebrating the Library (originally in Romanian),Ziarulevenimentul.ro,An event about advocating for libraries took place as part of Librarian Day in Romania; an IREX Romania representative attended.,http://www.ziarulevenimentul.ro/stiri/moldova/sarbatoare-la-biblioteca--140793.html
4/26/14,In the News 4-21,Simpson: America must have courage to help those yearning for freedom ,Amarillo.com,Opinion piece about a Ukrainian newspaper publisher who was brutally attacked because of his support for press freedom; he was formerly part of an IREX exchange that brought him to the US to learn about media.,http://amarillo.com/opinion/opinion-columnist/weekly-opinion-columnist/2014-04-26/simpson-america-must-have-courage-help
4/27/14,In the News 4-21,"The Steering Committee initiative ""Partnership"" Open Government ""published the results of an international monitoring (originally in Ukrainian)",Jurliga.ligazakon.ua,The Ukrainian Steering Committee released the results of an open government monitoring initiative on things such as e-governance; mentions the Bibliomist program.,http://jurliga.ligazakon.ua/news/2014/4/28/109806.htm
4/30/14,In the News 4-28,Liberia: Media Urged to Utilize FOI,AllAfrica.com,"Through IREX, a roundtable for media managers was held that discussed Liberia’s Freedom of Information Law and it’s relationship w/ press freedom; mentions Senior Media Specialist Maureen Sieh.",http://allafrica.com/stories/201404300736.html
5/1/14,In the News 4-28,Coro’s Michael Sider-Rose to participate in Burmese learning exchange,CoroPittsburgh.org,Discusses a Community Solutions Program fellow from Burma who engaged in civic engagement work.,http://www.coropittsburgh.org/coro-to-burma/
5/3/14,In the News 4-28,Ukrainian journalists visit Daily Press,DailyPress.com,"A team of Ukrainian journalists will visit the Daily Press offices in Newport News, VA, as part of the Ukrainian Media Partnership Program.",http://articles.dailypress.com/2014-05-03/news/dp-nws-advance-ukraine-rivne-daily-press-20140503_1_ukrainian-journalists-euromaidan-daily-press-media-group
5/4/14,In the News 4-28,Pocahontas teacher goes global on an exchange trip,Register-Herald.com,A TGC fellow from West Virginia discusses her exchange trip to Russia.,http://www.register-herald.com/local/x1535590079/Pocahontas-teacher-goes-global-on-an-exchange-trip
5/4/14,In the News 4-28,WONGOSOL Focuses On Women’s Participation In 2014 Senatorial Election,LiberianObserver.com,"Through sponsorship from IREX, the Women’s NGO Secretariat of Liberia will conduct activities before the country’s upcoming election in order to inform and encourage voter participation among women.",http://www.liberianobserver.com/politics/wongosol-focuses-women%E2%80%99s-participation-2014-senatorial-election
4/8/14,In the News 4-7,Dartmouth Joins Obama’s Initiative for Young African Leaders,Now.Dartmouth.edu,Dartmouth College was chosen to receive 25 Washington Fellowship participants this summer.,http://now.dartmouth.edu/2014/04/dartmouth-joins-obamas-initiative-for-young-african-leaders/
4/10/14,In the News 4-7,Montgomery Named Kemp Teaching Award Winner,IWU.edu,A professor at Illinois Wesleyan University received the 2015 Kemp Foundation Award for Teaching Excellence; she previously conducted research in Europe with the help of a grant from IREX.,http://www.iwu.edu/news/2014/04-montgomery-named-kemp-award-winner.html
4/11/14,In the News 4-7,Tomczuk Awarded IREX Fellowship,SOC.Washington.edu,A grad student from the University of Washington in Seattle was awarded an Individual Advanced Research Opportunities fellowship from IREX to support her research in Slovakia and the Czech Republic.,http://www.soc.washington.edu/news/story/Tomczuk%20Awarded%20IREX%20Fellowship
4/11/14,In the News 4-7,"""Incompatible Allies. Romania, Finland, Hungary and the Third Reich. "" Original preface Professor Larry Watts (originally in Romanian)",Sociologia-azi.ro,Previews the preface of American author Larry Watts’ new book; mentions IREX.,http://sociologia-azi.ro/2014/04/11/aliati-incompatibili-romania-finlanda-ungaria-si-al-treilea-reich-prefata-profesorului-larry-watts-in-original/
5/12/14,In the News 5-12,"FreeEx Report 2013: ""TVR and SRR is considered above the law"" (originally in Romanian)",Cotidianul.ro,Discusses press freedom in Romania; mentions IREX’s Media Sustainability Index.,http://www.cotidianul.ro/raportul-freeex-2013-tvr-si-srr-se-considera-mai-presus-de-lege-237205/
5/12/14,In the News 5-12,EU focuses on media reform in South Med via the Med Media (originally in Italian),Ansamed.ansa.it,"The European Union created the Med Media project, aimed at reforming media and revising media laws and regulations; mentions IREX Europe as a member of the project.",http://ansamed.ansa.it/ansamed/it/notizie/rubriche/enpi/2014/05/12/ue-punta-su-riforme-media-in-sud-med-via-progetto-med-media_ce9ba343-d1ba-421d-b792-4055d55d6906.html
5/13/14,In the News 5-12,The IREX Invites Local Organizations to Partner with the Africa-based Activities for the Washington Fellowship Program,FundsForNGOs.org,Mentions & links to IREX’s YALI Expression of Interest Request for organizations.,http://www.fundsforngos.org/funding-schemes/irex-invites-local-organizations-partner-africabased-activities-washington-fellowship-program/
5/16/14,In the News 5-12,"Mixed Messages: Homophobia, Transphobia and the Media",HuffingtonPost.com,Randal & Dru’s gender blog about media coverage of LGBT groups and issues.,http://www.huffingtonpost.com/randal-mason/mixed-messages-transgender-issues_b_5331519.html
5/19/14,In the News 5-19,RAO Publishing authors meet with people from Sibiu (originally in Romanian),Tribuna.ro,"An author, who worked as chief of the IREX Bucharest office from 1990-91, presented from his new book at a library in Romania.",http://www.tribuna.ro/stiri/eveniment/autorii-editurii-rao-se-intalnesc-cu-sibienii-96762.html
5/20/14,In the News 5-19,Liberia: Together for Sustainable Future - Yes Receives American Fellows,AllAfrica.com,Two American fellows from nonprofit IDEAS For Us will arrive in Liberia to help implement a follow-up of the Community Solutions Program.,http://allafrica.com/stories/201405210391.html
5/20/14,In the News 5-19,"A peaceful Ukraine, and a free press",Articles.DailyPress.com,"Discusses Ukrainian journalists’ visit to a Hampton Roads, VA newspaper through UMPP.",http://articles.dailypress.com/2014-05-20/news/dp-edt-ukraine-rivne-daily-press-20140519_1_rivne-vechirne-daily-press-free-press
5/21/14,In the News 5-19,Technology in education: Diffuse the 'hype cycle',Devex.com,Discusses the role of technology in education and accessibility; quotes IREXer Alex Pompe.,https://www.devex.com/news/technology-in-education-diffuse-the-hype-cycle-83525
5/22/14,In the News 5-19,"Mehdiyev: ""Ambassador Morningstar should not forget that Azerbaijan is self-sufficient, and not someone else's colony"" (originally in Russian)",1news.az,"Interview with Ramiz Mehdiyev, Head of the Presidential Administration of Azerbaijan Republic, about the relationship between the financial operations of US NGOs and the Azerbaijani government; mentions IREX.",http://www.1news.az/chronicle/20140522080908129.html
5/23/14,In the News 5-19,"Baku floats ""heavy"" artillery: Mehdiyev criticizes U.S. (originally in Russian)",ArmToday.info,"Discusses Ramiz Mehdiyev’s views on Azerbaijan’s civil society, foreign policy, and Azerbaijani collaboration with US NGOs; mentions IREX.",http://armtoday.info/default.asp?Lang=_Ru&NewsID=110599
5/23/14,In the News 5-19,UD hosts President Obama's Washington Fellowship for Young African Leaders,UDel.edu,"In June, the University of Delaware will host 25 fellows from 19 different countries through the Washington Fellowship for Young African Leaders.",http://www.udel.edu/udaily/2014/may/yali-washington-fellows-052314.html
5/26/14,In the News 5-26,Confusing state of digital transition reported,FollowtheMedia.com,"Discusses findings about digital broadcasting and governance in certain countries, using information from IREX’s MSI for Europe & Eurasia.",http://followthemedia.com/tickle/ticklefile26052014.htm
5/27/14,In the News 5-26,Digital Broadcasting Threatens Eastern Europe's Media,PRNewswire.com,"Press release detailing key findings, including the state of digital broadcasting, from IREX’s MSI for Europe & Eurasia.",http://www.prnewswire.co.uk/news-releases/digital-broadcasting-threatens-eastern-europes-media-260743821.html
5/27/14,In the News 5-26,Digital Broadcasting Threatens Eastern Europe's Media,DigitalJournal.com,Same as above.,http://www.digitaljournal.com/pr/1941240
5/27/14,In the News 5-26,Digital Broadcasting Threatens Eastern Europe’s Media,Emag.co.uk,Same as above.,http://emag.co.uk/digital-broadcasting-threatens-eastern-europes-media/158298
5/27/14,In the News 5-26,Digital Broadcasting Threatens Eastern Europe’s Media,IWantPop.com,Same as above.,http://iwantpop.com/26969/digital-broadcasting-threatens-eastern-europes-media/
5/29/14,In the News 5-26,Presenting Embassy’s Media Partnership Program Results (May 29),Georgia.usembassy.gov,Ambassador Norland recognized participants of the GMPP program for their work helping to expand free speech and the development of an independent media in Georgia.,http://georgia.usembassy.gov/news-events/emb_news2014t/29052014gmpp.html
5/30/14,In the News 5-26,Comparative politics -- Michael McFaul,PoliticalScience.Stanford.edu,Short bio about a Stanford professor who also serves as an IREX board member.,https://politicalscience.stanford.edu/category/tags/comparative-politics
6/1/14,In the News 5-26,Somaliland: Collapsing Freedom Speech ,Somalilandsun.com,Discusses the current state of freedom of speech and media laws in Somaliland; mentions funding from IREX.,http://somalilandsun.com/section-table/29-community/5861-somaliland-collapsing-freedom-speech-/
